occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes
4c882c54d69b1a6bbf63a6ad0a6fbbeee9ab8ec2;ef5e6051511acea857814b9e4af5d9db82c0c3b9;b57041cb99a4d03fc3b21599002a014b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/babel-plugin-remove-graphql-queries/package.json::::version::::version:4.15.0-next.1 <-> gatsby::::packages/gatsby-plugin-sharp/package.json::::version::::version:4.15.0-next.1;packages/gatsby-plugin-sharp/package.json;gatsby::::packages/gatsby-plugin-sharp/package.json::::version(location: 4);git show 4c882c54d69b1a6bbf63a6ad0a6fbbeee9ab8ec2 -- packages/gatsby-plugin-sharp/package.json;yes;file version changed
6121bb0668a0d5082ddd96bd1c9bb30d11f8de28;35af0a4b1cf151462905c1f23b84ebf2b295fc81;fef5632fc1fa4e93d48542b4f305163a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-graphiql-explorer/package.json::::devDependencies::::react-dom::::react-dom:^16.8.6 <-> gatsby::::themes/gatsby-theme-blog/package.json::::peerDependencies::::react-dom::::react-dom:^16.8.6;packages/gatsby-graphiql-explorer/package.json;gatsby::::packages/gatsby-graphiql-explorer/package.json::::devDependencies::::react-dom(location: 49);git show 6121bb0668a0d5082ddd96bd1c9bb30d11f8de28 -- packages/gatsby-graphiql-explorer/package.json;yes;library version changed
899358297bc6c4ec9df54d75acc9f7afecb5adc9;b2f240888b10f6b91ab174ab106ff0db6c89f776;f1879a8e2872976b0ffc40c7ab3644ec;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-postcss/package.json::::devDependencies::::@babel/core::::@babel/core:7.0.0-beta.51 <-> gatsby::::packages/gatsby-plugin-stylus/package.json::::devDependencies::::@babel/core::::@babel/core:7.0.0-beta.51;packages/gatsby-plugin-stylus/package.json;gatsby::::packages/gatsby-plugin-stylus/package.json::::devDependencies::::@babel/core(location: 16);git show 899358297bc6c4ec9df54d75acc9f7afecb5adc9 -- packages/gatsby-plugin-stylus/package.json;yes;library version changed
499301395ccbb1e2045d2908798c530fc0094194;4b36f97823704898599efdaba9112bad8d1a3a61;3bfb55943c0f406b36e7573ed9fdc83c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-sitemap/package.json::::version::::version:2.2.0 <-> gatsby::::packages/gatsby-transformer-json/package.json::::version::::version:2.2.0;packages/gatsby-plugin-sitemap/package.json;gatsby::::packages/gatsby-plugin-sitemap/package.json::::version(location: 4);git show 499301395ccbb1e2045d2908798c530fc0094194 -- packages/gatsby-plugin-sitemap/package.json;yes;file version changed
912ec42b56ebd1aafd5fc7b7f2bb2a02f116c594;06cb4d7718f5715a97bb4b6335af6af50033c39f;3b3a7a28a286277b1a50be22f970d90c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-design-tokens/package.json::::version::::version:3.3.0-next.0 <-> gatsby::::packages/gatsby-transformer-javascript-frontmatter/package.json::::version::::version:3.3.0-next.0;packages/gatsby-transformer-javascript-frontmatter/package.json;gatsby::::packages/gatsby-transformer-javascript-frontmatter/package.json::::version(location: 4);git show 912ec42b56ebd1aafd5fc7b7f2bb2a02f116c594 -- packages/gatsby-transformer-javascript-frontmatter/package.json;yes;file version changed
8244a911a1e8fd6fdbc45112f87bb523be3697a3;508bb0ad33f5bc2545ab54cdb6e304461db30f70;011ee97666ca93d291b8e65001b7d44c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-transformer-sqip/package.json::::dependencies::::gatsby-plugin-sharp::::gatsby-plugin-sharp:^2.3.4 <-> gatsby::::starters/default/package.json::::dependencies::::gatsby-plugin-sharp::::gatsby-plugin-sharp:^2.3.4;packages/gatsby-transformer-sqip/package.json;gatsby::::packages/gatsby-transformer-sqip/package.json::::dependencies::::gatsby-plugin-sharp(location: 13);git show 8244a911a1e8fd6fdbc45112f87bb523be3697a3 -- packages/gatsby-transformer-sqip/package.json;yes;library version changed
2075cbaa18414d5010428d5811e2d4b437ff1ca4;109220482f900e3786214d9978b553eafb5e2031;d50d228e698bb6f70852b16a7f1a2345;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-image/package.json::::peerDependencies::::@babel/core::::@babel/core:^7.12.3 <-> gatsby::::packages/gatsby-source-lever/package.json::::devDependencies::::@babel/core::::@babel/core:^7.12.3;packages/gatsby-source-lever/package.json;gatsby::::packages/gatsby-source-lever/package.json::::devDependencies::::@babel/core(location: 22);git show 2075cbaa18414d5010428d5811e2d4b437ff1ca4 -- packages/gatsby-source-lever/package.json;yes;library version changed
454c43f2873130a59b90ebbfc7ce75e6e4a7a44e;ad3d2e4d7a9bf6f8989eb9f46cd62d61e6bc8067;4c25da377a2f25e36cea6ee2d027beeb;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-emotion/package.json::::devDependencies::::@babel/core::::@babel/core:^7.10.3 <-> gatsby::::packages/gatsby-transformer-remark/package.json::::devDependencies::::@babel/core::::@babel/core:^7.10.3;packages/gatsby-transformer-remark/package.json;gatsby::::packages/gatsby-transformer-remark/package.json::::devDependencies::::@babel/core(location: 34);git show 454c43f2873130a59b90ebbfc7ce75e6e4a7a44e -- packages/gatsby-transformer-remark/package.json;yes;library version changed
899358297bc6c4ec9df54d75acc9f7afecb5adc9;b2f240888b10f6b91ab174ab106ff0db6c89f776;71ea55c9f688aa5bda5fe74e3d6023c3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-cli/package.json::::devDependencies::::@babel/core::::@babel/core:7.0.0-beta.51 <-> gatsby::::packages/gatsby-plugin-typography/package.json::::devDependencies::::@babel/core::::@babel/core:7.0.0-beta.51;packages/gatsby-plugin-typography/package.json;gatsby::::packages/gatsby-plugin-typography/package.json::::devDependencies::::@babel/core(location: 14);git show 899358297bc6c4ec9df54d75acc9f7afecb5adc9 -- packages/gatsby-plugin-typography/package.json;yes;library version changed
912ec42b56ebd1aafd5fc7b7f2bb2a02f116c594;06cb4d7718f5715a97bb4b6335af6af50033c39f;589a28bf5a407510ba62a4d22a67e3ed;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-coffeescript/package.json::::version::::version:3.3.0-next.0 <-> gatsby::::packages/gatsby-plugin-no-sourcemaps/package.json::::version::::version:3.3.0-next.0;packages/gatsby-plugin-coffeescript/package.json;gatsby::::packages/gatsby-plugin-coffeescript/package.json::::version(location: 4);git show 912ec42b56ebd1aafd5fc7b7f2bb2a02f116c594 -- packages/gatsby-plugin-coffeescript/package.json;yes;file version changed
143016fafd66e481b4bf05da5a48723082e34370;49c672961c13e1758bfe3831b4bfb8157fe1f891;400ff3d2c987b01b9f5220cd2e5fcbea;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-remark-prismjs/package.json::::version::::version:3.5.1 <-> gatsby::::packages/gatsby-source-drupal/package.json::::version::::version:3.5.1;packages/gatsby-source-drupal/package.json;gatsby::::packages/gatsby-source-drupal/package.json::::version(location: 4);git show 143016fafd66e481b4bf05da5a48723082e34370 -- packages/gatsby-source-drupal/package.json;yes;file version changed
3d96961b2673e7f338eae8cb3258ae7f968a2f9d;06cf08629913137eca62b5c5199607bb196353a6;4fd7e958123b5aed074e6fab3d9a7e7e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-1-config-css-modules/package.json::::version::::version:1.0.10 <-> gatsby::::packages/gatsby-remark-code-repls/package.json::::version::::version:1.0.10;packages/gatsby-1-config-css-modules/package.json;gatsby::::packages/gatsby-1-config-css-modules/package.json::::version(location: 4);git show 3d96961b2673e7f338eae8cb3258ae7f968a2f9d -- packages/gatsby-1-config-css-modules/package.json;yes;file version changed
10af4cc7994349e6dc3509a1c20428e1af4f4bea;8921cdb7ef2cdad5107e2bace845d9bf714083b1;1562ac82ed964ad8f01ce1bb8000bf91;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-transformer-json/package.json::::devDependencies::::cross-env::::cross-env:^5.2.0 <-> gatsby::::www/package.json::::devDependencies::::cross-env::::cross-env:^5.2.0;packages/gatsby-transformer-json/package.json;gatsby::::packages/gatsby-transformer-json/package.json::::devDependencies::::cross-env(location: 17);git show 10af4cc7994349e6dc3509a1c20428e1af4f4bea -- packages/gatsby-transformer-json/package.json;yes;library version changed
16a70c5ae6f44296a99959967f238c33387accd7;626695d2dbd35dc74ef3dac4c8497d1bab16178a;00ad680c3b60bfafa1e96089c71d3d17;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-no-sourcemaps/package.json::::version::::version:3.8.0-next.0 <-> gatsby::::packages/gatsby-plugin-subfont/package.json::::version::::version:3.8.0-next.0;packages/gatsby-plugin-subfont/package.json;gatsby::::packages/gatsby-plugin-subfont/package.json::::version(location: 3);git show 16a70c5ae6f44296a99959967f238c33387accd7 -- packages/gatsby-plugin-subfont/package.json;yes;file version changed
5a35db445928842dabd9fcaacf977992acf8d53a;d2544f78d2955c8ed40a08c979bfd614283f64b6;816f4462661c0736351328dfe3f8f67b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-theme-blog-core/package.json::::dependencies::::gatsby-plugin-mdx::::gatsby-plugin-mdx:^1.0.56 <-> gatsby::::www/package.json::::dependencies::::gatsby-plugin-mdx::::gatsby-plugin-mdx:^1.0.56;packages/gatsby-theme-blog-core/package.json;gatsby::::packages/gatsby-theme-blog-core/package.json::::dependencies::::gatsby-plugin-mdx(location: 21);git show 5a35db445928842dabd9fcaacf977992acf8d53a -- packages/gatsby-theme-blog-core/package.json;yes;library version changed
50229ed7739766329d42870ecce0f34216016b30;9d83c7831c6b929791f1404bd6c911ba69128a7f;90bf420ffc31d749b51f0b37c9f26888;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/babel-preset-gatsby-package/package.json::::peerDependencies::::@babel/core::::@babel/core:^7.11.6 <-> gatsby::::packages/gatsby-source-lever/package.json::::devDependencies::::@babel/core::::@babel/core:^7.11.6;packages/gatsby-source-lever/package.json;gatsby::::packages/gatsby-source-lever/package.json::::devDependencies::::@babel/core(location: 22);git show 50229ed7739766329d42870ecce0f34216016b30 -- packages/gatsby-source-lever/package.json;yes;library version changed
3b192b45cbac4d722d199caef0d96f369948ca54;51ff28ab98068867fb99cbc846fda7a5ae18ec86;7f29a068a04523b65f5bb5da6d29f3fc;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/babel-plugin-remove-graphql-queries/package.json::::version::::version:4.12.0-next.2 <-> gatsby::::packages/gatsby-cli/package.json::::version::::version:4.12.0-next.2;packages/gatsby-cli/package.json;gatsby::::packages/gatsby-cli/package.json::::version(location: 4);git show 3b192b45cbac4d722d199caef0d96f369948ca54 -- packages/gatsby-cli/package.json;yes;file version changed
899358297bc6c4ec9df54d75acc9f7afecb5adc9;b2f240888b10f6b91ab174ab106ff0db6c89f776;a7ea7200e83681ca310e8185c4a2185b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-postcss/package.json::::dependencies::::@babel/runtime::::@babel/runtime:7.0.0-beta.51 <-> gatsby::::packages/gatsby-transformer-sqip/package.json::::dependencies::::@babel/runtime::::@babel/runtime:7.0.0-beta.51;packages/gatsby-transformer-sqip/package.json;gatsby::::packages/gatsby-transformer-sqip/package.json::::dependencies::::@babel/runtime(location: 10);git show 899358297bc6c4ec9df54d75acc9f7afecb5adc9 -- packages/gatsby-transformer-sqip/package.json;yes;library version changed
084e5ea65528169ad6c7615f857eb2af800e2e92;c39617a78130dacd8839381d020b2fb420dc6236;416b03ce7097e17561d1567d52051aa1;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-feed/package.json::::version::::version:2.0.0-rc.2 <-> gatsby::::packages/gatsby-transformer-xml/package.json::::version::::version:2.0.0-rc.2;packages/gatsby-transformer-xml/package.json;gatsby::::packages/gatsby-transformer-xml/package.json::::version(location: 4);git show 084e5ea65528169ad6c7615f857eb2af800e2e92 -- packages/gatsby-transformer-xml/package.json;yes;file version changed
c4a0caa4ba6381dafaa26f04ac69a88c6c4d4fc4;7b14324db221e1c27eac127dfc0826c47b5d22c1;106c0c68e25dd96d320932093f0c13a6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-jss/package.json::::version::::version:2.0.5 <-> gatsby::::packages/gatsby-source-shopify/package.json::::version::::version:2.0.5;packages/gatsby-source-shopify/package.json;gatsby::::packages/gatsby-source-shopify/package.json::::version(location: 3);git show c4a0caa4ba6381dafaa26f04ac69a88c6c4d4fc4 -- packages/gatsby-source-shopify/package.json;yes;file version changed
579f27eb7b7a386d8acf8364d03a566b7752b6e2;4e2108309e86ff964fb6bc752f7564169eb4c42f;df5f6536a91130cbca7c272f40be31a6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-sharp/package.json::::version::::version:3.11.0-next.0 <-> gatsby::::packages/gatsby-transformer-toml/package.json::::version::::version:3.11.0-next.0;packages/gatsby-plugin-sharp/package.json;gatsby::::packages/gatsby-plugin-sharp/package.json::::version(location: 4);git show 579f27eb7b7a386d8acf8364d03a566b7752b6e2 -- packages/gatsby-plugin-sharp/package.json;yes;file version changed
335966c7c1b06c00b25c912d6846b894719f3e71;7558b591ada566e7b4627eee54b8b9a90d85ed53;f70f3ab73847d3bd045ca2af0d4c60d1;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-aphrodite/package.json::::version::::version:1.0.5 <-> gatsby::::packages/gatsby-remark-code-repls/package.json::::version::::version:1.0.5;packages/gatsby-remark-code-repls/package.json;gatsby::::packages/gatsby-remark-code-repls/package.json::::version(location: 4);git show 335966c7c1b06c00b25c912d6846b894719f3e71 -- packages/gatsby-remark-code-repls/package.json;yes;file version changed
6bf5c4f91237301edc9893aafcfd8be9ee50b098;f2d126085b507efad56ff5cdf38297e325000e2e;212aa47cf3d7b51487045e394c32a962;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::starters/gatsby-starter-mdx-basic/package.json::::dependencies::::gatsby::::gatsby:^2.32.12 <-> gatsby::::starters/gatsby-starter-theme/package.json::::dependencies::::gatsby::::gatsby:^2.32.12;starters/gatsby-starter-theme/package.json;gatsby::::starters/gatsby-starter-theme/package.json::::dependencies::::gatsby(location: 13);git show 6bf5c4f91237301edc9893aafcfd8be9ee50b098 -- starters/gatsby-starter-theme/package.json;yes;library version changed
84622f8d33bb611ee0fd192ad12ac0f76028aea8;2df58e6debe19eec4cc1e2b1aeb2b1236798c511;17411443f9b54797b019d76c00233f89;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-remark-responsive-iframe/package.json::::version::::version:2.3.1 <-> gatsby::::packages/gatsby-transformer-javascript-static-exports/package.json::::version::::version:2.3.1;packages/gatsby-transformer-javascript-static-exports/package.json;gatsby::::packages/gatsby-transformer-javascript-static-exports/package.json::::version(location: 4);git show 84622f8d33bb611ee0fd192ad12ac0f76028aea8 -- packages/gatsby-transformer-javascript-static-exports/package.json;yes;file version changed
