occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;category
1b5737f19a000d7bcbbba772ff1253074ff01277;b71ee5230fd5fec93cc0b576af463e8b81260eef;5a5b8f6585ed2b1b4bcbdac1bb950890;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;kubernetes::::build/build-image/Dockerfile::::add::::dest::::/ <-> kubernetes::::cluster/images/etcd/Dockerfile::::workdir::::/;build/build-image/Dockerfile;kubernetes::::build/build-image/Dockerfile::::add::::dest(location: 51);git show 1b5737f19a000d7bcbbba772ff1253074ff01277 -- build/build-image/Dockerfile;no;changes does not match with link;path
a77d0ceb2b9831f82da7c41616fb8059bf5ced59;d7369ded15b98e4dbc39ab9b40e283195c89fa75;807d9eecfc63787bfce2a0c4e93ca081;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;kubernetes::::cluster/addons/addon-manager/Dockerfile::::add::::dest::::/usr/local/bin/ <-> kubernetes::::cluster/images/etcd/Dockerfile::::copy::::dest::::/usr/local/bin/;cluster/images/etcd/Dockerfile;kubernetes::::cluster/images/etcd/Dockerfile::::copy::::dest(location: 18);git show a77d0ceb2b9831f82da7c41616fb8059bf5ced59 -- cluster/images/etcd/Dockerfile;no;no changes;path
a77d0ceb2b9831f82da7c41616fb8059bf5ced59;d7369ded15b98e4dbc39ab9b40e283195c89fa75;1b19a7bc4969c1957d1f1f384d5a1ffe;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;kubernetes::::cluster/addons/addon-manager/Dockerfile::::add::::dest::::/usr/local/bin/ <-> kubernetes::::cluster/images/conformance/Dockerfile::::copy::::dest::::/usr/local/bin/;cluster/images/conformance/Dockerfile;kubernetes::::cluster/images/conformance/Dockerfile::::copy::::dest(location: 17);git show a77d0ceb2b9831f82da7c41616fb8059bf5ced59 -- cluster/images/conformance/Dockerfile;no;no changes;path
765dbcebb5f7484501c810ea2a46df3d91bf53ef;8fe4b5476a89885f6abeaeb044d6974f8a6dbde1;64696254d52f0a9dd760a15200d33146;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;kubernetes::::build/build-image/Dockerfile::::workdir::::/go/src/k8s.io/kubernetes <-> kubernetes::::cmd/libs/go2idl/go-to-protobuf/build-image/Dockerfile::::workdir::::/go/src/k8s.io/kubernetes;build/build-image/Dockerfile;kubernetes::::build/build-image/Dockerfile::::workdir(location: 27);git show 765dbcebb5f7484501c810ea2a46df3d91bf53ef -- build/build-image/Dockerfile;yes;Docker workdir changed;path
8d9f1a81ea8c5d7931fcac2ab95b438ab4abc8a2;775c890647569278284e8caa96da8abe5cd1dd93;a72b3dc46e1557c9585465398c581c71;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;kubernetes::::Godeps/_workspace/src/github.com/onsi/ginkgo/.travis.yml::::script::::$HOME/gopath/bin/ginkgo -r --randomizeAllSpecs --failOnPending --randomizeSuites --race <-> kubernetes::::Godeps/_workspace/src/github.com/onsi/gomega/.travis.yml::::script::::$HOME/gopath/bin/ginkgo -r --randomizeAllSpecs --failOnPending --randomizeSuites --race;Godeps/_workspace/src/github.com/onsi/ginkgo/.travis.yml;kubernetes::::Godeps/_workspace/src/github.com/onsi/ginkgo/.travis.yml::::script(location: 15);git show 8d9f1a81ea8c5d7931fcac2ab95b438ab4abc8a2 -- Godeps/_workspace/src/github.com/onsi/ginkgo/.travis.yml;yes;script in travis changed;command
c1d9646d03ed606d84d426e36618b0463fd0828d;4282ef5729745f8eaa8f960ed0fc2cc25b006242;ee00338261ce012bd8463dcd9a70d2cd;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;kubernetes::::build/build-image/cross/Dockerfile::::from::::golang:1.6.0 <-> kubernetes::::examples/guestbook-go/_src/Dockerfile::::from::::golang:1.6.0;build/build-image/cross/Dockerfile;kubernetes::::build/build-image/cross/Dockerfile::::from(location: 18);git show c1d9646d03ed606d84d426e36618b0463fd0828d -- build/build-image/cross/Dockerfile;yes;Docker build image changed;unkown
f77d126da2b7e1bd4634a0582d9e2c06f5a4e1c9;885790ce21b5000e8226a0f0f33af1b7758ead83;956a4d5c14364c891ca67833f5678f81;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;kubernetes::::build/build-image/Dockerfile::::from::::google/debian:wheezy <-> kubernetes::::build/run-images/base/Dockerfile::::from::::google/debian:wheezy;build/build-image/Dockerfile;kubernetes::::build/build-image/Dockerfile::::from(location: 17);git show f77d126da2b7e1bd4634a0582d9e2c06f5a4e1c9 -- build/build-image/Dockerfile;yes;Docker build image changed;unkown
46926e39c66421fbf6b86a600bbdb9af0d782447;7a22d5df99dc9f44a09a0940c290ebfaca9a0c4e;e117dff6e2ff094561cff31eef67998d;ModifiedOptionConflict;ConfigType.LANGUAGE<->ConfigType.LANGUAGE;kubernetes::::.travis.yml::::language::::go <-> kubernetes::::Godeps/_workspace/src/github.com/jonboulle/clockwork/.travis.yml::::language::::go;.travis.yml;kubernetes::::.travis.yml::::language(location: 1);git show 46926e39c66421fbf6b86a600bbdb9af0d782447 -- .travis.yml;yes;language travis changed;language
1a6e7298e03762e5c3736a2bc7c8efcc10dee355;1d5dbf904556165b065a738d428d3c9db40629ea;c7346bb30dbc66961485114122748c96;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;kubernetes::::Godeps/_workspace/src/github.com/docker/libcontainer/Dockerfile::::from::::golang:1.4 <-> kubernetes::::hack/jenkins/test-image/Dockerfile::::from::::golang:1.4;hack/jenkins/test-image/Dockerfile;kubernetes::::hack/jenkins/test-image/Dockerfile::::from(location: 18);git show 1a6e7298e03762e5c3736a2bc7c8efcc10dee355 -- hack/jenkins/test-image/Dockerfile;yes;Docker build image changed;unkown
40ae958ad857310f0f8b144cf2b09419ab82bf60;c209c52ae74ec594411c89b051d5eb5571c1acef;6a149c93385058d8fe43879073eb2f97;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;kubernetes::::build/build-image/cross/Dockerfile::::from::::golang:1.3 <-> kubernetes::::docs/man/Dockerfile::::from::::golang:1.3;build/build-image/cross/Dockerfile;kubernetes::::build/build-image/cross/Dockerfile::::from(location: 18);git show 40ae958ad857310f0f8b144cf2b09419ab82bf60 -- build/build-image/cross/Dockerfile;yes;Docker build image changed;unkown
03f68a77a77142a6200564aa83b5f81ea4042013;125bf0854bf23e7003c25eb1ce258d017e17d70f;62944e41969d66a09d89e7e97a23e1e2;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;kubernetes::::build/build-image/cross/Dockerfile::::from::::golang:1.5.3 <-> kubernetes::::hack/jenkins/test-image/Dockerfile::::from::::golang:1.5.3;build/build-image/cross/Dockerfile;kubernetes::::build/build-image/cross/Dockerfile::::from(location: 18);git show 03f68a77a77142a6200564aa83b5f81ea4042013 -- build/build-image/cross/Dockerfile;yes;Docker build image changed;unkown
