occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;categroy
0414b5e8b666f46891a24870572f921d0b219f66;e3f75fcad0be983a747a97fb0cfe21977def7695;7a2163542593f5068276d5997e5f58c2;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b1-tpu.yaml::::validation_dataset::::builder::::records <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::validation_dataset::::builder::::records;official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml;models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::validation_dataset::::builder(location: 26);git show 0414b5e8b666f46891a24870572f921d0b219f66 -- official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml;yes;option;same option
0414b5e8b666f46891a24870572f921d0b219f66;e3f75fcad0be983a747a97fb0cfe21977def7695;dc390021a4082ed6c422db7ba1993e88;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-tpu.yaml::::train_dataset::::builder::::records <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::train_dataset::::builder::::records;official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::train_dataset::::builder(location: 12);git show 0414b5e8b666f46891a24870572f921d0b219f66 -- official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;yes;option;same option
0414b5e8b666f46891a24870572f921d0b219f66;e3f75fcad0be983a747a97fb0cfe21977def7695;c31341ce35a639af51c45231af5c35cb;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b1-tpu.yaml::::validation_dataset::::builder::::records <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::train_dataset::::builder::::records;official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml;models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::train_dataset::::builder(location: 12);git show 0414b5e8b666f46891a24870572f921d0b219f66 -- official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml;no;different options;obvious no conflict
0414b5e8b666f46891a24870572f921d0b219f66;e3f75fcad0be983a747a97fb0cfe21977def7695;f15f5a3637720517127ea192b15fc2bd;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-tpu.yaml::::train_dataset::::builder::::records <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::validation_dataset::::builder::::records;official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::validation_dataset::::builder(location: 25);git show 0414b5e8b666f46891a24870572f921d0b219f66 -- official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;no;different options;obvious no conflict
2f9747ef6762a5d663fbd4d1d31497400be7db21;3dcdea301dd5e167136c3921a5aa902c906ab9dd;6413d864b71215241d9d178514ca4c3f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::research/mlperf_object_detection/Mask_RCNN/object_detection/samples/cloud/cloud.yml::::trainingInput::::runtimeVersion::::1.0 <-> models::::research/object_detection/samples/cloud/cloud.yml::::trainingInput::::runtimeVersion::::1.0;research/object_detection/samples/cloud/cloud.yml;models::::research/object_detection/samples/cloud/cloud.yml::::trainingInput::::runtimeVersion(location: 2);git show 2f9747ef6762a5d663fbd4d1d31497400be7db21 -- research/object_detection/samples/cloud/cloud.yml;yes;option;same option
a61d76a2a4b3e026df01e174156cde29a790dfc0;1465379d799e1a547ff11e19d3d344ea304f2b73;4bb77beedafd3b2573a40f0bf33d6888;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-tpu.yaml::::model::::optimizer::::moving_average_decay::::0. <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/tpu.yaml::::model::::optimizer::::moving_average_decay::::0.;official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-tpu.yaml;models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-tpu.yaml::::model::::optimizer::::moving_average_decay(location: 42);git show a61d76a2a4b3e026df01e174156cde29a790dfc0 -- official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-tpu.yaml;yes;option;same option
b45767dff26e31c76f5e8d1390b0ed5283c02522;c66671048c5913b0c7d7a5ce6e2e9371810cbc97;d7a5e4adbe800bc21ae7c54c4ac05f47;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/beta/configs/experiments/image_classification/imagenet_resnet50_gpu.yaml::::trainer::::optimizer_config::::learning_rate::::type::::stepwise <-> models::::official/vision/beta/configs/experiments/image_classification/imagenet_resnet50_tpu.yaml::::trainer::::optimizer_config::::learning_rate::::type::::stepwise;official/vision/beta/configs/experiments/image_classification/imagenet_resnet50_tpu.yaml;models::::official/vision/beta/configs/experiments/image_classification/imagenet_resnet50_tpu.yaml::::trainer::::optimizer_config::::learning_rate::::type(location: 43);git show b45767dff26e31c76f5e8d1390b0ed5283c02522 -- official/vision/beta/configs/experiments/image_classification/imagenet_resnet50_tpu.yaml;yes;option;same option
c622a7443b8ffec4fc11db393108ec4f06df6a03;f3cf8b45648d8348b75caeea36796f9d34c0410e;34d568385e5d48d80fa68f5389087b68;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b1-tpu.yaml::::train_dataset::::batch_size::::128 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::validation_dataset::::batch_size::::128;official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::validation_dataset::::batch_size(location: 29);git show c622a7443b8ffec4fc11db393108ec4f06df6a03 -- official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;no;different options;obvious no conflict
c622a7443b8ffec4fc11db393108ec4f06df6a03;f3cf8b45648d8348b75caeea36796f9d34c0410e;07053c2e7ac74fc076e6c8656bbe8d87;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-gpu.yaml::::validation_dataset::::dtype::::float32 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::validation_dataset::::dtype::::float32;official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::validation_dataset::::dtype(location: 31);git show c622a7443b8ffec4fc11db393108ec4f06df6a03 -- official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;yes;option;same option
c622a7443b8ffec4fc11db393108ec4f06df6a03;f3cf8b45648d8348b75caeea36796f9d34c0410e;4df57ccefb178f79c6aa1f88a7f3fafd;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b1-gpu.yaml::::train_dataset::::dtype::::float32 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::train_dataset::::dtype::::float32;official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::train_dataset::::dtype(location: 18);git show c622a7443b8ffec4fc11db393108ec4f06df6a03 -- official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;yes;option;same option
c622a7443b8ffec4fc11db393108ec4f06df6a03;f3cf8b45648d8348b75caeea36796f9d34c0410e;61eabc46a7590850c875b453f09a825f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/image_classification/configs/examples/efficientnet/imagenet/efficientnet-b0-tpu.yaml::::train_dataset::::batch_size::::128 <-> models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::train_dataset::::batch_size::::128;official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;models::::official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml::::train_dataset::::batch_size(location: 16);git show c622a7443b8ffec4fc11db393108ec4f06df6a03 -- official/vision/image_classification/configs/examples/resnet/imagenet/gpu.yaml;yes;option;same option
f0f7ffa33ee8fd7797461b0067cfa1ac62e06b23;d0bf95f3385e00c4d4046a4f4eee37320f91007a;6b4d8e8e477f43e3613952a06cfde879;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;models::::official/vision/beta/configs/experiments/retinanet/coco_spinenet143_tpu.yaml::::task::::gradient_clip_norm::::0.0 <-> models::::official/vision/beta/configs/experiments/retinanet/coco_spinenet190_tpu.yaml::::task::::gradient_clip_norm::::0.0;official/vision/beta/configs/experiments/retinanet/coco_spinenet143_tpu.yaml;models::::official/vision/beta/configs/experiments/retinanet/coco_spinenet143_tpu.yaml::::task::::gradient_clip_norm(location: 7);git show f0f7ffa33ee8fd7797461b0067cfa1ac62e06b23 -- official/vision/beta/configs/experiments/retinanet/coco_spinenet143_tpu.yaml;yes;option;same option
